ISO_code,WHO_region,modelling_year,reference_year,total_population,total_population_source,adult_population,adult_population_source,GDP_USD,GDP_source,GDP_per_capita,Country_total_health_expenditure,Government_total_health_expenditure,Country_NCD_spending,Government_NCD_spending,Country_total_health_expenditure_year,Government_total_health_expenditure_year,Country_NCD_spending_year,Government_NCD_spending_year,USD_exchange_rate,USD_exchange_rate_source,adult_tobacco_use_prevalence_percent,adult_cigarette_smoking_prevalence_percent,adult_tobacco_smoking_prevalence_percent,adult_tobacco_use_prevalence_number,adult_cigarette_smoking_prevalence_number,adult_tobacco_smoking_prevalence_number,year_of_prevalence_data,prevelance_data_source,tobacco_burden,tobacco_burden_GDP,costs_per_adult_smoker,tobacco_attributable_deaths,percent_of_tobacco_attributable_deaths_that_are_premature,econ_productivity_losses,econ_productivity_losses_per_capita,healthcare_expenditures,tobacco_burden_per_capita,econ_losses_15years,econ_productivity_losses_15years,total_investment_15years,averted_deaths,annual_deaths_averted,Deaths_averted_per_USD_10000_invested_in_interventions,percent_reduction_premature_mortality_2030,econ_benefits,econ_benefits_per_capita,avoided_econ_productivity_losses,annual_avoided_econ_productivity_losses,econ_productivity_losses_15years_decrease,cigarette_smoking_prevalence_change,all_ROI_15years
ARM,EURO,2020,2017,2965300.00,RTI data input table,2372240.00,WB 2017,13621345195.96,"Modelling excel (in local currency, 2017)",4593.58,1210927200.00,160383300.00,526959104.00,65710807.00,2017,2017,2017,2017,0.0021,"UN exchange rates, 2017 average",0.28,0.26,0.28,664227.20,621526.88,661854.96,2016,STEPS Survey 2017,573300000.00,0.04,866.20,5500.00,0.52,413700000.00,139.51,159180000.00,193.34,7140000000.00,6205500000.00,21840000.00,23245.00,1549.67,10.64,0.20,1866900000.00,629.58,1350300000.00,89880000.00,0.26,-0.52,86.00
CPV,AFRO,2019,2017,548561.00,GBD 2016,386062.08,GBD 2016,1558498800.00,"Modelling excel (computed via economic costs as % of GDP, 2018)",2841.07,93017764.00,57930491.00,13343014.00,12450709.00,2017,2017,2017,2017,0.0102,"UN exchange rates, 2017 average",0.13,0.01,0.01,50574.13,3860.62,3860.62,2015,"WB 2015 (tobacco use), WHO Trend 2015 (smoking) GTCR 2015 (cigarette)",16524000.00,0.01,4280.14,104.00,0.60,15258180.00,27.81,1248480.00,30.12,201552000.00,228872700.00,8568000.00,574.00,38.27,0.67,0.07,70369800.00,128.28,65280000.00,4333980.00,0.35,-0.63,8.00
KHM,WPRO,2018,2017,14827680.00,"Cambodia NIS, 2015",10746857.77,GBD 2015,21958128546.88,"Modelling excel (in local currency, 2017)",1480.89,1233779520.00,327138206.00,270743514.00,67721919.00,2017,2017,2016,2016,0.00024,report ,0.22,0.17,0.17,2364308.71,1783978.39,1816218.96,2014,National Adult Tobacco Survey of Cambodia 2014,650400000.00,0.03,358.11,15000.00,0.55,585600000.00,39.49,64392000.00,43.86,7908000000.00,8784000000.00,10680000.00,57000.00,3800.00,53.37,0.11,1898904000.00,128.06,1704000000.00,114576000.00,0.24,-0.43,178.00
TCD,AFRO,2019,2017,14433585.00,GBD 2016,7178153.20,GBD 2016,12495018600.00,"Modelling excel (in local currency, 2015)",865.69,480251025.00,73361784.00,45034858.00,5767023.00,2017,2017,2018,2018,0.0018,report,0.01,0.06,0.10,84702.21,459401.80,681924.55,2017,WHO GTCR 2019,58140000.00,0.01,85.26,2473.00,0.71,48780000.00,3.38,9360000.00,4.03,703260000.00,731700000.00,14292000.00,10531.00,702.07,7.37,0.04,190188000.00,13.18,158940000.00,10440000.00,0.27,-0.47,13.00
COL,PAHO,2019,2017,50606157.00,GBD 2017,37646617.00,GBD 2017,315542894412.14,"Modelling excel (in local currency, 2017)",6235.27,24031091200.00,17071918775.00,,,2017,2017,N/A,N/A,0.00034,"UN exchange rates, 2017 average",0.10,0.09,0.09,3727015.08,3301608.31,3199962.45,2017,National Quality of Life Survey 2017 (tobacco use from  WB 2015),5780000000.00,0.02,1806.27,34809.00,0.44,3604000000.00,71.22,2210000000.00,114.22,70312000000.00,54060000000.00,64600000.00,154450.00,10296.67,23.91,,19720000000.00,389.68,12138000000.00,808418000.00,0.28,-0.50,305.00
CRI,PAHO,2021,2019,5111238.00,RTI data input table,3661821.70,GBD 2019,61702553490.00,"Modelling excel (in local currency, 2019)",12071.94,4644320000.00,3368800000.00,,,2019,2019,N/A,N/A,0.0017,report,0.09,0.09,0.09,333225.77,318578.49,325902.13,2015,GATS 2015,688500000.00,0.01,2112.60,2440.00,0.41,434690000.00,85.05,254269000.00,134.70,7531000000.00,6520350000.00,12580000.00,7879.00,525.27,6.26,0.08,1468800000.00,287.37,928200000.00,61880000.00,0.20,-0.35,117.40
SLV,PAHO,2018,2016,6164537.00,RTI data input table,4424889.80,GBD 2016,26797470000.00,Modelling excel (computed via economic costs as % of GDP),4347.04,2108140137.00,1172625919.00,,,2016,2016,N/A,N/A,1,"report, uses USD",0.10,0.09,0.95,420364.53,389390.30,4203645.31,2014,WHO GTCR 2017/National Alcohol and Tobacco Survey 2014 (cigarettes) WHO GHO 2015 (tobacco use and tobacco smoking),263600000.00,0.01,62.71,1624.00,0.46,148000000.00,24.01,115000000.00,42.76,3211700000.00,2220000000.00,19500000.00,6739.00,449.27,3.46,,838500000.00,136.02,467200000.00,31153333.00,0.26,-0.48,43.00
SWZ,AFRO,2020,2017,1093192.00,RTI data input table,711663.59,GBD 2017,3704708200.00,"Modelling excel (in local currency, 2018)",3388.89,242958094.00,123289859.00,78881202.00,61697185.00,2017,2017,2017,2017,0.0593,report,0.11,0.08,0.09,76148.00,56933.09,63338.06,2017,WHO GTCR 2019,40561200.00,0.01,640.39,661.00,0.66,36766000.00,33.63,3795200.00,37.10,498120000.00,551490000.00,10851900.00,3368.00,224.53,3.10,0.09,160940200.00,147.22,148250000.00,9707410.00,0.32,-0.59,15.00
GEO,EURO,2018,2016,4038918.00,RTI data input table,3038965.60,GBD 2016,14314915200.00,"Modelling excel (in local currency,2016)",3544.25,1209325379.00,443100000.00,369552415.00,201007831.00,2016,2016,2016,2016,0.422,CEIC,0.33,0.31,0.31,987663.82,942079.34,942079.34,2016,"WHO GTCR 2017/STEPS 2016 (tobacco smoking) WHO GHO 2015 (tobacco use), no data on cigarette smoking so used tobacco smoking prevalence",348150000.00,0.02,369.55,11418.00,,210156000.00,52.03,137994000.00,86.20,5232800000.00,3152340000.00,4220000.00,53100.00,3540.00,125.83,,1511182000.00,374.16,928400000.00,61893333.00,,-0.45,357.00
GHA,AFRO,2022,2019,31072945.00,UNPD 2020,20086487.50,UNPD 2020,56681800000.00,WB 2020,1824.15,1692869063.00,691044099.00,225063418.00,93113830.00,2019,2019,2018,2018,0.14,report,0.04,0.02,0.03,743200.04,441902.73,542335.16,2019,WHO GTCR 2021,93520000.00,0.00,215.74,6708.00,0.66,69580000.00,2.24,24080000.00,3.01,1022000000.00,1043700000.00,44800000.00,20122.00,1341.47,4.49,0.03,184660000.00,5.94,137480000.00,9240000.00,0.18,-0.32,4.10
JOR,EMRO,2018,2015,10648463.00,RTI data input table,6381844.60,GBD 2015,37558734000.00,RTI data input table,3527.15,2882150156.00,1543103603.00,,,2015,2015,N/A,N/A,1.41,"UN exchange rates, 2015 average",0.34,0.34,0.34,2150681.63,2150681.63,2150681.63,2015,"WHO GHO 2015 (tobacco use and tobacco smoking), no data on cigarette smoking so used tobacco smoking prevalence",2256000000.00,0.06,1048.97,9027.00,0.56,1958772000.00,183.95,288204000.00,211.86,27354000000.00,29381580000.00,37224000.00,47556.00,3170.40,12.78,0.22,9204339000.00,864.38,8037000000.00,534249000.00,0.34,-0.57,247.00
LAO,WPRO,2020,2017,6970176.00,RTI data input table,4726164.50,GBD 2017,16765540000.00,"Modelling excel (in local currency, 2017)",2405.33,390953338.00,137569438.00,131129781.00,38862975.00,2017,2017,2019,2019,0.00011,report,0.32,0.26,0.28,1531277.30,1228802.77,1318599.90,2015,Xangsayarath et al (2019). Tobacco use in Lao People’s Democratic Republic: Results from the 2015 National Adult Tobacco Survey,396000000.00,0.02,300.32,6796.00,0.61,363000000.00,52.08,26400000.00,56.81,4840000000.00,5445000000.00,12980000.00,25269.00,1684.60,19.47,0.12,1113750000.00,159.79,1034000000.00,69267000.00,0.23,-0.49,86.00
MDG,AFRO,2019,2017,26108785.00,GBD 2017,14793548.81,GBD 2017,11467089164.70,"Modelling excel (in local currency, 2015)",439.20,636486320.00,295117965.00,,,2017,2017,N/A,N/A,0.00,"UN exchange rates, 2017 average",0.29,0.15,0.21,4349303.35,2219032.32,3062264.60,2017,WHO GTCR 2019,157024000.00,0.01,51.28,8295.00,0.82,149088000.00,5.71,7936000.00,6.01,1920000000.00,2236320000.00,16960000.00,30400.00,2026.67,17.92,0.07,444800000.00,17.04,416000000.00,28128000.00,0.23,-0.42,26.00
MMR,SEARO,2018,2016,54510408.00,GBD 2016,38137869.00,GBD 2016,63776718320.00,"Modelling excel (in local currency, 2018)",1169.99,3036017600.00,424595569.00,703588408.00,125428893.00,2016,2016,2016,2016,0.0008,"UN exchange rates, 2016 average",0.49,0.05,0.26,18611280.07,2028934.63,9953983.81,2014,WHO GTCR 2017/STEPS survey 2014 (smoking and estimate for cig) WB 2015 (tobacco use),2096000000.00,0.03,210.57,64033.00,0.56,1822160000.00,33.43,245920000.00,38.45,25432000000.00,27332400000.00,28568000.00,255425.00,17028.33,89.41,,6424000000.00,117.85,5658000000.00,377200000.00,0.25,-0.45,225.00
WSM,WPRO,2019,2017,200874.00,RTI data input table,132274.48,GBD 2017,755462004.80,"Modelling excel (in local currency, 2015)",3760.88,43236082.00,33007182.00,18555324.00,14355356.00,2017,2017,2016,2016,0.375,report,0.28,0.24,0.26,37169.13,31216.78,33862.27,2013,STEPS 2013 (tobacco smoking) WHO GHO 2015 (tobacco use) WHO GTCR 2019 (cigarette smoking),17625000.00,0.02,520.49,226.00,0.56,16950000.00,84.38,637500.00,87.74,212062500.00,254250000.00,5587500.00,952.00,63.47,1.70,0.18,56325000.00,280.40,54225000.00,3637500.00,0.27,-0.46,10.00
SRB,EURO,2021,2019,6945235.00,Statistical Office of the Republic of Serbia 2019,5952646.00,Statistical Office of the Republic of Serbia 2019,55190100840.00,"Modelling excel (in local currency, 2020)",7946.47,4792305206.00,2796350951.00,,,2019,2019,N/A,N/A,0.0102,report,0.38,0.37,0.37,2256052.83,2226289.60,2226289.60,2019,Serbia Institute of Economic Sciences 2020,2743800000.00,0.05,1232.45,19872.00,,2407200000.00,346.60,336600000.00,395.06,29580000000.00,36108000000.00,46614000.00,72600.00,4840.00,15.57,0.22,6548400000.00,942.86,5742600000.00,379440000.00,0.22,-0.42,140.00
SLE,AFRO,2019,2017,7092112.00,Sierra Leone Population and Housing Census 2015,4197653.00,Sierra Leone Population and Housing Census 2015,3313759200.00,Statistics Sierra Leone 2017,467.25,309802140.00,28046445.00,52733547.00,5707008.00,2017,2017,2017,2017,0.00012,report,0.21,0.17,0.21,860518.87,705205.70,860518.87,2017,WHO GTCR 2019,48468000.00,0.02,56.32,3330.00,0.68,35448000.00,5.00,13008000.00,6.83,588000000.00,531720000.00,8640000.00,19844.00,1322.93,22.97,0.13,222240000.00,31.34,156000000.00,10776000.00,0.38,-0.69,26.00
LKA,SEARO,2018,2016,21203000.00,Sri Lankan Department of Census and Statistics 2016,15855000.00,Sri Lankan Department of Census and Statistics 2016,99670998544.50,"Modelling excel (computed via economic costs as % of GDP, 2018)",4700.80,3476689219.00,1499197805.00,1346050074.00,588379197.00,2016,2016,2016,2016,0.0075,report,0.26,0.15,0.15,4090590.00,2378250.00,2378250.00,2015,STEPS 2015,1603500000.00,0.02,674.24,20000.00,0.55,1488000000.00,70.18,114750000.00,75.63,19275000000.00,22320000000.00,22500000.00,72344.00,4822.93,32.15,,4394250000.00,207.25,4065000000.00,270750000.00,0.23,-0.43,171.00
SUR,PAHO,2020,2019,575888.00,RTI data input table,429248.01,GBD 2019,2101345400.00,"Modelling excel (in local currency, 2020)",3648.88,345917424.00,251949350.00,,,2019,2019,N/A,N/A,0.1303,report,0.20,0.20,0.20,86278.85,86278.85,86278.85,2013,"STEPS 2013 (tobacco smoking), no data on tobacco use or cigarette smoking so used tobacco smoking prevalence",66192400.00,0.02,767.19,546.00,0.62,59304742.00,102.98,6905900.00,114.94,781800000.00,889571130.00,11075500.00,1800.00,120.00,1.63,0.11,141896700.00,246.40,115576100.00,8482530.00,0.18,-0.36,12.90
TUN,EMRO,2020,2019,11442183.00,GBD 2017,8767305.33,GBD 2017,43130962500.00,"Modelling excel (in local currency, 2019)",3769.47,2515931763.00,1296086697.00,1651825068.00,857436836.00,2019,2019,2018,2018,0.375,report,0.27,0.18,0.23,2340870.52,1595649.57,2007712.92,2017,WHO GTCR 2019,750000000.00,0.02,373.56,13200.00,0.49,708750000.00,61.94,54862500.00,65.55,8362500000.00,10631250000.00,33637500000.00,55500.00,3700.00,0.02,0.22,2119012500.00,185.19,1987500000.00,131137500.00,0.25,-0.46,63.00
ZMB,AFRO,2018,2016,16647858.00,GBD 2016,9074151.00,GBD 2016,25796988000.00,"Modelling excel (in local currency, 2018)",1549.57,1015984409.00,388981321.00,114872325.00,58913148.00,2016,2016,2016,2016,0.105,report,0.16,0.14,0.14,1406493.41,1252232.84,1270381.14,2016,WB 2016 (tobacco use and tobacco smoking from WB 2015),294000000.00,0.01,231.43,7142.00,0.60,278376000.00,16.72,16201500.00,17.66,3633000000.00,4175640000.00,31258500.00,40349.00,2689.93,12.91,,1302000000.00,78.21,1239000000.00,82299000.00,0.36,-0.64,42.00
